route_id,origin_port,destination_port,distance_nm
250,Sydney,Los Angeles,8793
251,Hong Kong,Sydney,10199
252,Busan,Rotterdam,14206
253,Busan,New York,13333
254,Los Angeles,Dubai,9180
255,Durban,Mumbai,7975
256,Mumbai,Singapore,8236
257,Shanghai,Santos,6159
258,Shanghai,Hong Kong,8179
259,Hong Kong,Durban,12865
260,Singapore,Busan,13986
261,Dubai,Singapore,3345
262,Santos,Shanghai,6606
263,Hong Kong,Shanghai,11256
264,Los Angeles,Santos,2995
265,Dubai,Mumbai,7673
266,Dubai,Durban,14083
267,Busan,Santos,3586
268,Durban,Sydney,6151
269,New York,Mumbai,11092
270,Mumbai,Dubai,13729
271,Busan,Hong Kong,6499
272,Sydney,Mumbai,3551
273,Santos,Hong Kong,4655
274,Hong Kong,Sydney,14635
275,Singapore,Santos,13862
276,Mumbai,Hamburg,9757
277,Sydney,Hamburg,12265
278,Santos,Hamburg,2996
279,Sydney,Hamburg,13846
280,Durban,Hong Kong,5743
281,Hamburg,Singapore,13308
282,Sydney,Shanghai,8847
283,Busan,Mumbai,12255
284,Hamburg,Busan,13721
285,Mumbai,New York,2978
286,Mumbai,Hamburg,12101
287,Santos,New York,9717
288,Rotterdam,Hong Kong,6111
289,New York,Rotterdam,7572
290,New York,Busan,11632
291,Dubai,Los Angeles,1000
292,Hamburg,Hong Kong,2262
293,Los Angeles,Hong Kong,11470
294,Durban,Busan,1910
295,Durban,Dubai,4099
296,Los Angeles,Dubai,11357
297,Hamburg,Rotterdam,11613
298,Busan,New York,7298
299,Los Angeles,Busan,912
300,Sydney,Busan,1967
301,New York,Los Angeles,5980
302,Shanghai,Hamburg,13851
303,Dubai,Santos,8240
304,Sydney,Dubai,2786
305,Singapore,Sydney,12011
306,Hamburg,Rotterdam,14012
307,Hamburg,Dubai,14621
308,Durban,Busan,801
309,New York,Hong Kong,6354
310,Shanghai,Singapore,4248
311,Hamburg,Singapore,2825
312,Shanghai,Singapore,7049
313,Dubai,New York,3277
314,Hamburg,Busan,9696
315,New York,Mumbai,11769
316,Singapore,Busan,6860
317,Shanghai,Mumbai,6414
318,Los Angeles,Singapore,7596
319,Santos,Shanghai,7458
320,Santos,Dubai,12262
321,Dubai,Singapore,9412
322,Dubai,New York,2536
323,Singapore,Santos,14711
324,Mumbai,Busan,12234
325,New York,Busan,4915
326,Dubai,Busan,7228
327,Hong Kong,Los Angeles,626
328,Hong Kong,Santos,5731
329,Santos,Rotterdam,2011
330,Singapore,Mumbai,5071
331,Singapore,Busan,6795
332,Hong Kong,New York,9157
333,Rotterdam,Singapore,1728
334,New York,Sydney,11247
335,Hamburg,Rotterdam,6639
336,Durban,Busan,3790
337,Singapore,New York,1146
338,Singapore,Hong Kong,14860
339,Busan,Durban,8096
340,Los Angeles,Sydney,8048
341,Hamburg,Dubai,1691
342,Santos,Mumbai,12184
343,Sydney,Shanghai,3897
344,Santos,Hamburg,13686
345,Shanghai,Singapore,12197
346,Sydney,Busan,6991
347,Los Angeles,Mumbai,12499
348,New York,Mumbai,6158
349,Durban,Shanghai,4995
350,Busan,Durban,5482
351,Durban,New York,2038
352,Santos,Sydney,13276
353,Hamburg,Los Angeles,2465
354,Santos,Mumbai,12792
355,Busan,Rotterdam,2984
356,Singapore,Los Angeles,5846
357,Mumbai,Santos,2573
358,Mumbai,Dubai,7342
359,Busan,Singapore,10384
360,Hamburg,Durban,5092
361,Busan,Rotterdam,12581
362,Rotterdam,Hong Kong,3620
363,Mumbai,Rotterdam,1056
364,Busan,Durban,627
365,Rotterdam,Busan,7518
366,Los Angeles,Durban,6230
367,Durban,Busan,2713
368,New York,Mumbai,4627
369,Santos,Mumbai,3502
370,Mumbai,Los Angeles,4328
371,Hamburg,Los Angeles,2524
372,Singapore,Hong Kong,7689
373,Sydney,Los Angeles,2990
374,Sydney,Dubai,3473
375,Singapore,Dubai,5064
376,Singapore,Los Angeles,4650
377,Busan,New York,1165
378,Dubai,Hamburg,12946
379,Singapore,Hamburg,8409
380,Rotterdam,Santos,7184
381,Santos,Mumbai,2119
382,Singapore,Hamburg,9670
383,Rotterdam,Hong Kong,6368
384,Mumbai,Hong Kong,11219
385,Shanghai,New York,10382
386,Durban,Hamburg,3667
387,New York,Santos,14734
388,Mumbai,Santos,4671
389,Sydney,Singapore,14784
390,Durban,Mumbai,14721
391,Sydney,Rotterdam,5813
392,Hong Kong,Los Angeles,14869
393,Sydney,Hamburg,9404
394,Dubai,Sydney,14450
395,Busan,Dubai,5482
396,Singapore,Hamburg,3489
397,Dubai,Durban,5329
398,Hong Kong,New York,11166
399,New York,Los Angeles,5425
400,Sydney,Mumbai,2458
401,Busan,Los Angeles,14737
402,Rotterdam,Los Angeles,3989
403,New York,Singapore,1462
404,Rotterdam,Hamburg,4023
405,Hong Kong,Dubai,5234
406,Rotterdam,Shanghai,1378
407,Rotterdam,Los Angeles,3557
408,Hamburg,Mumbai,674
409,Hong Kong,Mumbai,12239
410,Shanghai,Hamburg,14256
411,New York,Dubai,14933
412,Hong Kong,Durban,13883
413,New York,Dubai,7519
414,Dubai,Santos,4373
415,New York,Sydney,8018
416,New York,Shanghai,2704
417,Mumbai,Hong Kong,786
418,Los Angeles,Busan,11947
419,Durban,Hamburg,5411
420,Santos,Hamburg,13177
421,Durban,Dubai,4633
422,Hong Kong,Busan,11761
423,Rotterdam,Shanghai,13099
424,Mumbai,Hamburg,3709
425,Santos,Mumbai,3749
426,Mumbai,Sydney,14221
427,Shanghai,Los Angeles,10208
428,New York,Singapore,1482
429,New York,Dubai,8618
430,Rotterdam,Busan,7077
431,Dubai,Shanghai,12369
432,Sydney,Mumbai,14609
433,Hong Kong,Singapore,11255
434,Shanghai,Mumbai,8169
435,Santos,Shanghai,4299
436,Dubai,Santos,13390
437,Durban,Sydney,12509
438,Sydney,Mumbai,2273
439,Shanghai,New York,4063
440,Rotterdam,Hamburg,2679
441,Rotterdam,Singapore,4994
442,Los Angeles,Singapore,6384
443,Hong Kong,Mumbai,6659
444,New York,Dubai,4033
445,Durban,Mumbai,1812
446,Singapore,New York,11161
447,Singapore,Hamburg,12657
448,New York,Durban,8599
449,Rotterdam,Singapore,14958
450,Shanghai,Durban,8069
451,Hamburg,Los Angeles,10524
452,Santos,Shanghai,13971
453,Sydney,Mumbai,14158
454,Sydney,Singapore,4545
455,Sydney,Hamburg,7629
456,New York,Singapore,14907
457,Busan,Dubai,8004
458,New York,Rotterdam,8871
459,New York,Shanghai,5426
460,Hamburg,Los Angeles,7540
461,Hamburg,Dubai,4568
462,Sydney,Rotterdam,7582
463,Singapore,Durban,4584
464,Busan,Sydney,6155
465,Los Angeles,Hamburg,5878
466,Sydney,Los Angeles,4574
467,Rotterdam,Busan,1516
468,Busan,Mumbai,7099
469,Rotterdam,Los Angeles,6636
470,Hamburg,Mumbai,3793
471,Durban,Singapore,7541
472,Shanghai,Los Angeles,9336
473,Shanghai,Dubai,7987
474,Los Angeles,Shanghai,6546
475,Dubai,Hong Kong,8639
476,New York,Mumbai,9808
477,Busan,Mumbai,14373
478,Dubai,Hong Kong,606
479,Rotterdam,Mumbai,3019
480,Dubai,Hong Kong,11090
481,Los Angeles,Dubai,9698
482,Shanghai,Singapore,3344
483,Hamburg,Hong Kong,9215
484,New York,Santos,7619
485,Dubai,Rotterdam,6890
486,Rotterdam,Busan,11306
487,Rotterdam,Los Angeles,4583
488,Dubai,Singapore,2035
489,Rotterdam,Dubai,5355
490,Dubai,Mumbai,10151
491,New York,Durban,7375
492,Hamburg,Mumbai,8532
493,Hong Kong,Santos,1813
494,New York,Santos,5020
495,Dubai,Hamburg,10455
496,Hong Kong,Singapore,6129
497,Shanghai,Santos,4682
498,Sydney,New York,1583
499,Hong Kong,Busan,6609
500,Rotterdam,New York,13910
501,Los Angeles,Hamburg,6740
502,New York,Sydney,4851
503,Santos,Mumbai,610
504,Hong Kong,Santos,8491
505,Dubai,Durban,2688
506,Mumbai,Durban,1887
507,Los Angeles,Hong Kong,7444
508,Sydney,New York,6412
509,New York,Busan,14887
510,Busan,Mumbai,10447
511,Dubai,Durban,14206
512,Sydney,Los Angeles,7452
513,Hong Kong,Dubai,11250
514,New York,Dubai,14165
515,Los Angeles,New York,12418
516,Los Angeles,New York,526
517,Durban,Rotterdam,892
518,Hamburg,Busan,14554
519,New York,Rotterdam,9165
520,Busan,Shanghai,9802
521,Los Angeles,Dubai,13259
522,Santos,Shanghai,13354
523,Durban,Hong Kong,3402
524,Mumbai,Singapore,3677
525,Durban,Sydney,6460
526,Santos,Mumbai,1413
527,Rotterdam,Singapore,550
528,Durban,Hamburg,5245
529,Mumbai,Durban,5937
530,Mumbai,Hamburg,2053
531,Santos,Hong Kong,1441
532,New York,Rotterdam,10141
533,Hong Kong,Durban,12180
534,Mumbai,Santos,4486
535,Santos,Dubai,8063
536,Sydney,Durban,13397
537,Hamburg,Santos,5788
538,Sydney,Hong Kong,5004
539,Dubai,Rotterdam,4401
540,Mumbai,Sydney,7714
541,Hamburg,Dubai,7504
542,Los Angeles,Sydney,7059
543,New York,Rotterdam,10066
544,Los Angeles,Singapore,7504
545,Hong Kong,Hamburg,3622
546,Santos,Busan,9760
547,Santos,Rotterdam,3711
548,Hong Kong,Singapore,10117
549,Dubai,Santos,4838
550,New York,Singapore,3037
551,Durban,Hamburg,12856
552,Los Angeles,New York,10419
553,Durban,Hong Kong,12018
554,Rotterdam,Hong Kong,9000
555,Mumbai,New York,5042
556,New York,Mumbai,6935
557,Shanghai,Singapore,14952
558,Dubai,Busan,4781
559,Busan,Singapore,8802
560,Sydney,Durban,8982
561,Santos,Dubai,4519
562,Singapore,Durban,2762
563,Mumbai,Dubai,8042
564,Durban,Sydney,4701
565,Hamburg,Busan,5051
566,Hong Kong,Santos,5164
567,Durban,Singapore,704
568,Mumbai,Rotterdam,4199
569,Durban,Santos,656
570,Sydney,Mumbai,12725
571,Los Angeles,Shanghai,10292
572,Singapore,Shanghai,9471
573,Durban,New York,5647
574,Rotterdam,Hong Kong,2220
575,Hamburg,Los Angeles,707
576,Busan,Durban,10560
577,Dubai,New York,12782
578,Shanghai,Hong Kong,10307
579,Rotterdam,Mumbai,14448
580,Mumbai,New York,2620
581,New York,Hong Kong,1440
582,Shanghai,Rotterdam,4799
583,Singapore,Rotterdam,846
584,New York,Hamburg,9719
585,Shanghai,Sydney,12664
586,Busan,Durban,11160
587,Durban,New York,9286
588,Hong Kong,Sydney,8562
589,New York,Mumbai,11195
590,Singapore,Rotterdam,10918
591,Busan,Hong Kong,13970
592,Busan,Los Angeles,13563
593,Los Angeles,Dubai,1866
594,Durban,Santos,9996
595,Singapore,Durban,7101
596,Mumbai,Busan,14270
597,Sydney,Durban,12766
598,Busan,Hamburg,7374
599,Durban,Mumbai,8496
600,Busan,Sydney,11151
601,Rotterdam,Hamburg,10754
602,Dubai,Sydney,9011
603,Hong Kong,Dubai,8729
604,Santos,Hong Kong,3503
605,New York,Durban,8243
606,New York,Santos,7941
607,Hamburg,Sydney,9601
608,Singapore,Santos,12075
609,Dubai,Mumbai,13438
610,Los Angeles,Dubai,11918
611,Busan,Mumbai,11469
612,Hong Kong,Durban,11304
613,Dubai,Durban,11043
614,Dubai,Hamburg,2302
615,Mumbai,Los Angeles,7795
616,Santos,Dubai,8746
617,Los Angeles,Sydney,8166
618,New York,Busan,9402
619,Mumbai,Rotterdam,2207
620,Hamburg,Busan,513
621,Rotterdam,Los Angeles,10285
622,Shanghai,Busan,4380
623,Dubai,Santos,4641
624,Rotterdam,Dubai,5462
625,Singapore,Sydney,7024
626,Shanghai,Hamburg,7818
627,Santos,Singapore,5670
628,New York,Hong Kong,9655
629,Busan,Shanghai,1853
630,Santos,Hong Kong,3616
631,Los Angeles,Hamburg,13508
632,Hong Kong,Shanghai,1588
633,Durban,Santos,6053
634,Shanghai,Santos,8160
635,Los Angeles,Sydney,12730
636,Sydney,Durban,10986
637,Dubai,Los Angeles,3819
638,Los Angeles,Singapore,1537
639,Dubai,Busan,9838
640,Busan,Santos,8912
641,Santos,Los Angeles,2686
642,Singapore,Dubai,896
643,Busan,New York,3719
644,Durban,Hong Kong,6320
645,Hong Kong,Rotterdam,6570
646,New York,Dubai,3597
647,Singapore,New York,6724
648,Busan,Dubai,13476
649,Hamburg,Rotterdam,12855
650,Rotterdam,Los Angeles,14052
651,Hamburg,Hong Kong,7199
652,Los Angeles,Santos,10835
653,New York,Singapore,5554
654,New York,Hamburg,11100
655,Dubai,Rotterdam,12520
656,New York,Rotterdam,4620
657,Shanghai,Los Angeles,11836
658,Sydney,Santos,10383
659,Santos,Mumbai,5204
660,Durban,Los Angeles,6118
661,New York,Dubai,3099
662,Rotterdam,Santos,9833
663,Los Angeles,Hamburg,9691
664,New York,Dubai,3579
665,Los Angeles,Busan,13517
666,Busan,Hamburg,3652
667,Rotterdam,Los Angeles,4368
668,Los Angeles,Durban,6266
669,Singapore,Hamburg,555
670,Los Angeles,New York,8570
671,Durban,New York,4985
672,Hamburg,Durban,9912
673,Shanghai,Mumbai,2550
674,Busan,Hong Kong,4142
675,Sydney,Singapore,9227
676,Busan,Sydney,12117
677,Dubai,New York,8949
678,New York,Mumbai,11155
679,Busan,Hamburg,11442
680,Dubai,Rotterdam,5628
681,Hong Kong,Durban,13560
682,Busan,Durban,6579
683,Rotterdam,Hong Kong,2147
684,Singapore,Hamburg,10029
685,Durban,Shanghai,10456
686,Busan,Sydney,2792
687,New York,Santos,8614
688,Durban,Hamburg,1293
689,Hong Kong,Sydney,14955
690,Busan,Hong Kong,13840
691,Durban,Rotterdam,14146
692,Santos,Singapore,3172
693,Busan,Shanghai,1699
694,Dubai,Mumbai,3203
695,Rotterdam,Hong Kong,1577
696,Mumbai,Singapore,10099
697,Singapore,Sydney,2965
698,Los Angeles,Santos,11973
699,Los Angeles,Hamburg,10341
700,Hong Kong,Santos,5685
701,Mumbai,Durban,7688
702,Rotterdam,Sydney,11260
703,New York,Singapore,8670
704,Durban,Mumbai,611
705,Singapore,Sydney,5486
706,Busan,New York,9785
707,Sydney,Singapore,12955
708,Durban,Los Angeles,9008
709,Los Angeles,Dubai,10863
710,Hamburg,Mumbai,14732
711,New York,Los Angeles,10934
712,Busan,Singapore,13771
713,Los Angeles,Dubai,1363
714,Sydney,Singapore,1396
715,Rotterdam,Sydney,11937
716,New York,Hamburg,9804
717,Singapore,New York,1190
718,Los Angeles,Hamburg,6950
719,Shanghai,New York,8184
720,Hong Kong,Busan,4039
721,Hamburg,Sydney,3747
722,New York,Durban,2653
723,Santos,Sydney,14130
724,Santos,Hong Kong,2799
725,Durban,Busan,8303
726,Shanghai,Hong Kong,14581
727,Dubai,Busan,3842
728,Shanghai,Busan,4072
729,New York,Durban,1098
730,Durban,New York,3019
731,Hong Kong,Sydney,11070
732,Mumbai,Hamburg,13945
733,Los Angeles,Rotterdam,7585
734,Hong Kong,New York,2505
735,Los Angeles,Dubai,1495
736,Rotterdam,Sydney,928
737,Los Angeles,Hamburg,10787
738,Shanghai,Hong Kong,3395
739,Santos,Busan,1644
740,Mumbai,Dubai,6398
741,New York,Sydney,1213
742,New York,Hong Kong,10573
743,Los Angeles,New York,5994
744,Los Angeles,Busan,11654
745,Singapore,Los Angeles,14546
746,Los Angeles,Santos,6528
747,Singapore,Hamburg,9009
748,Sydney,Rotterdam,6216
749,Sydney,Shanghai,12829
750,Sydney,Mumbai,2565
751,Hong Kong,Los Angeles,14419
752,Dubai,Busan,3995
753,New York,Mumbai,5966
754,Hong Kong,Sydney,9578
755,Dubai,Durban,8045
756,Shanghai,New York,5527
757,Singapore,Sydney,7511
758,New York,Hong Kong,4500
759,Shanghai,Busan,10130
760,Los Angeles,Sydney,9354
761,Dubai,Mumbai,3352
762,Mumbai,Hamburg,1593
763,Hamburg,Rotterdam,2970
764,Shanghai,Busan,1833
765,Hong Kong,Rotterdam,2018
766,Singapore,Rotterdam,5982
767,Shanghai,Busan,14135
768,Sydney,New York,9401
769,Dubai,Sydney,1999
770,Shanghai,Durban,10042
771,Hong Kong,Shanghai,12789
772,Busan,Hamburg,11174
773,Dubai,Durban,11731
774,Shanghai,Hong Kong,3861
775,Dubai,Sydney,9495
776,Busan,Los Angeles,14331
777,Rotterdam,Durban,9309
778,Santos,Shanghai,10564
779,New York,Durban,5816
780,Mumbai,Hong Kong,4543
781,Mumbai,Rotterdam,14285
782,Durban,Los Angeles,6282
783,Mumbai,Shanghai,2033
784,Shanghai,Santos,14891
785,Mumbai,Singapore,9550
786,Hamburg,Santos,7126
787,Busan,Shanghai,9462
788,Los Angeles,Mumbai,3510
789,Rotterdam,Hong Kong,3970
790,Los Angeles,Rotterdam,858
791,Mumbai,Santos,8098
792,New York,Hong Kong,5772
793,Busan,Hamburg,4586
794,Dubai,Singapore,8271
795,Dubai,Shanghai,8462
796,Busan,Shanghai,5052
797,Singapore,Dubai,4456
798,Sydney,Mumbai,13976
799,Sydney,Singapore,8104
800,Hamburg,Los Angeles,8453
801,Shanghai,Dubai,12819
802,Santos,Durban,890
803,New York,Singapore,8208
804,Sydney,Hong Kong,12750
805,Sydney,Los Angeles,622
806,Singapore,Los Angeles,3150
807,Busan,Rotterdam,1761
808,Rotterdam,Los Angeles,7019
809,Santos,Dubai,5462
810,Santos,Rotterdam,8981
811,Dubai,Hamburg,8653
812,Durban,Santos,3581
813,Rotterdam,Sydney,14313
814,Busan,Sydney,13445
815,Dubai,Santos,7005
816,Shanghai,Rotterdam,14900
817,Hong Kong,Sydney,1226
818,Durban,New York,5609
819,Hong Kong,Mumbai,7706
820,New York,Durban,14402
821,Dubai,Los Angeles,4242
822,Singapore,Shanghai,5767
823,New York,Singapore,2113
824,Shanghai,New York,10265
825,Hong Kong,Singapore,1195
826,Los Angeles,Hong Kong,10876
827,Durban,Los Angeles,4667
828,Hamburg,Hong Kong,9466
829,Dubai,Mumbai,6354
830,Durban,Los Angeles,8476
831,Busan,Los Angeles,13438
832,Singapore,Hong Kong,12057
833,Hong Kong,Durban,6952
834,Los Angeles,Dubai,6701
835,Dubai,Los Angeles,13460
836,Durban,Rotterdam,1427
837,Dubai,Hamburg,3754
838,Shanghai,Los Angeles,7971
839,Sydney,Hamburg,12004
840,Santos,Shanghai,12776
841,Mumbai,Singapore,7167
842,Busan,Durban,741
843,Hamburg,Rotterdam,14325
844,Singapore,Durban,13261
845,Busan,Singapore,3432
846,Los Angeles,Dubai,11433
847,Dubai,Sydney,12592
848,New York,Santos,2051
849,Busan,Rotterdam,12687
850,Rotterdam,Shanghai,1234
851,Sydney,Durban,4303
852,Mumbai,Hamburg,12772
853,Durban,Hong Kong,12649
854,Mumbai,Busan,5088
855,Los Angeles,Durban,11171
856,Durban,Busan,14493
857,Hamburg,Santos,3102
858,Santos,Singapore,549
859,New York,Shanghai,12312
860,Shanghai,Dubai,11515
861,Hong Kong,Rotterdam,4343
862,New York,Shanghai,12052
863,Hong Kong,Los Angeles,14206
864,Shanghai,Los Angeles,13961
865,Dubai,Hamburg,8518
866,Shanghai,Sydney,9789
867,Sydney,Hamburg,11363
868,Dubai,Hong Kong,9499
869,Shanghai,Los Angeles,4817
870,Santos,Hamburg,1277
871,Mumbai,Busan,10960
872,Busan,Dubai,13947
873,Hamburg,Santos,4577
874,Dubai,Singapore,4467
875,Dubai,Rotterdam,3988
876,Sydney,Mumbai,11276
877,Dubai,Mumbai,10382
878,Dubai,Hamburg,6487
879,Rotterdam,Sydney,10924
880,Busan,Hamburg,9707
881,New York,Shanghai,13857
882,Rotterdam,Hong Kong,775
883,Santos,Shanghai,6844
884,Dubai,Sydney,2223
885,Dubai,Santos,6786
886,Dubai,Singapore,4158
887,Singapore,Durban,13119
888,Hamburg,Singapore,12952
889,Busan,Dubai,11672
890,Singapore,Los Angeles,9796
891,Sydney,Santos,12933
892,Santos,Dubai,11544
893,Hamburg,Dubai,8493
894,Rotterdam,New York,10593
895,Busan,New York,545
896,Rotterdam,Los Angeles,7783
897,Santos,Los Angeles,14183
898,Los Angeles,Durban,14263
899,Los Angeles,Rotterdam,8737
